sample_ontology_term	prelim_classification_v0.9
184-hTERT	other
A549	other
A673	other
ACC112	other
adrenal gland	Kidney
adult endothelial progenitor cell	connective tissue cell
AG04450	fibroblast derived cell line
alternatively activated macrophage	Macrophage
amnion	mesoderm-derived structure
amygdala	Brain
angular gyrus	Brain
anterior transverse temporal area 41::Brodmann (1909) area 22::posterior transverse temporal area 42	Brain
anterior transverse temporal area 41::posterior transverse temporal area 42	Brain
aorta	mesoderm-derived structure
aortic endothelial cell	meso-epithelial cell
arcuate artery endothelial cell	meso-epithelial cell
ascending aorta	mesoderm-derived structure
ascending colon	Colon
astrocyte	neural cell
B cell	lymphocyte of B lineage
band form neutrophil	Neutrophil
bipolar neuron	other
BJ	other
BL-2	other
body of pancreas	other
bone marrow	mesoderm-derived structure
brain	Brain
breast epithelium	Specialized epithelium
Brodmann (1909) area 11	Brain
Brodmann (1909) area 20	Brain
Brodmann (1909) area 20::Brodmann (1909) area 37	Brain
Brodmann (1909) area 22	Brain
Brodmann (1909) area 24	Brain
Brodmann (1909) area 38	Brain
Brodmann (1909) area 44	Brain
Brodmann (1909) area 44::Brodmann (1909) area 45	Brain
Brodmann (1909) area 45	Brain
Brodmann (1909) area 46	Brain
Brodmann (1909) area 8::Brodmann (1909) area 9	Brain
Brodmann (1909) area 9	Brain
bronchial epithelial cell	endo-epithelial cell
Caco-2	other
capillary blood	capillary blood
cardiac muscle cell	Muscle
cardiac myoblast	other
cardioblast	stem cell
caudate nucleus	Brain
CD14-positive monocyte	monocyte
CD14-positive, CD16-negative classical monocyte	monocyte
CD16-positive, CD56-dim natural killer cell, human	NK
CD34-negative, CD41-positive, CD42-positive megakaryocyte cell	other
CD34-positive, CD38-negative hematopoietic stem cell	hematopoietic precursor cell
CD34-positive, CD38-negative multipotent progenitor cell	hematopoietic precursor cell
CD34-positive, CD38-positive common lymphoid progenitor	hematopoietic precursor cell
CD34-positive, CD38-positive common myeloid progenitor	hematopoietic precursor cell
CD34-positive, CD38-positive common myeloid progenitor OR CD34-positive, CD38-positive common lymphoid progenitor	hematopoietic precursor cell
CD38-negative naive B cell	lymphocyte of B lineage
CD4-positive helper T cell	T cell
CD4-positive, alpha-beta memory T cell	T cell
CD4-positive, alpha-beta T cell	T cell
CD4-positive, alpha-beta thymocyte	T cell
CD4-positive, CD25-positive, alpha-beta regulatory T cell	T cell
CD8-positive, alpha-beta memory T cell	T cell
