epirr_id,status,data_generating_centre,assay_type,experiment_type,uuid,inputs,inputs_ctl,original_read_length,original_read_length_ctl,trimmed_read_length,trimmed_read_length_ctl,software_version,chastity_passed,paired_end,analyzed_as_stranded,upload_date,data_file_path,epirr_id_without_version
IHECRE00000001.4,complete,CEEHRC_[CEMT],ChIP-Seq,H3K27ac,8e4a8d6c-26e0-4b8d-aa08-7875973212d4,EGAR00001176281;EGAR00001332451,EGAR00001176282;EGAR00001332466,75;75,75;75,75;75,75;75,ihec-chipseq-containerv1.1.4,true,true,nan,03-23-2022,incoming/ChIP-Seq/03-16-2022/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000001.4.8e4a8d6c-26e0-4b8d-aa08-7875973212d4.*,IHECRE00000001
IHECRE00000001.4,complete,CEEHRC_[CEMT],ChIP-Seq,H3K27me3,7fa161be-cf7b-4429-a672-c1d72473e2c1,EGAR00001176284;EGAR00001332434,EGAR00001176282;EGAR00001332466,75;75,75;75,75;75,75;75,ihec-chipseq-containerv1.1.4,true,true,nan,03-23-2022,incoming/ChIP-Seq/03-16-2022/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000001.4.7fa161be-cf7b-4429-a672-c1d72473e2c1.*,IHECRE00000001
IHECRE00000001.4,complete,CEEHRC_[CEMT],ChIP-Seq,H3K36me3,8f91a2fb-7003-480a-b893-926d784b78c7,EGAR00001176283;EGAR00001332433,EGAR00001176282;EGAR00001332466,75;75,75;75,75;75,75;75,ihec-chipseq-containerv1.1.4,true,true,nan,03-23-2022,incoming/ChIP-Seq/03-16-2022/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000001.4.8f91a2fb-7003-480a-b893-926d784b78c7.*,IHECRE00000001
IHECRE00000001.4,complete,CEEHRC_[CEMT],ChIP-Seq,H3K4me1,02b605e5-4373-4009-a925-f6e4537147f5,EGAR00001176285;EGAR00001332436,EGAR00001176282;EGAR00001332466,75;75,75;75,75;75,75;75,ihec-chipseq-containerv1.1.4,true,true,nan,03-23-2022,incoming/ChIP-Seq/03-16-2022/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000001.4.02b605e5-4373-4009-a925-f6e4537147f5.*,IHECRE00000001
IHECRE00000001.4,complete,CEEHRC_[CEMT],ChIP-Seq,H3K4me3,7ab9b0e8-c023-4a55-9a01-21d8f6cb210d,EGAR00001176287;EGAR00001332413,EGAR00001176282;EGAR00001332466,75;75,75;75,75;75,75;75,ihec-chipseq-containerv1.1.4,true,true,nan,03-23-2022,incoming/ChIP-Seq/03-16-2022/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000001.4.7ab9b0e8-c023-4a55-9a01-21d8f6cb210d.*,IHECRE00000001
IHECRE00000001.4,complete,CEEHRC_[CEMT],ChIP-Seq,H3K9me3,a034ee31-90a4-46ec-8ae3-50525e7d309a,EGAR00001176286;EGAR00001332412,EGAR00001176282;EGAR00001332466,75;75,75;75,75;75,75;75,ihec-chipseq-containerv1.1.4,true,true,nan,03-23-2022,incoming/ChIP-Seq/03-16-2022/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000001.4.a034ee31-90a4-46ec-8ae3-50525e7d309a.*,IHECRE00000001
IHECRE00000001.4,complete,CEEHRC_[CEMT],RNA-Seq,mRNA-Seq,5e6cc904-0c49-4a82-8bf0-1f727f9f37fa,EGAR00001332389,nan,75,nan,75,nan,ihec-rnaseq-containerv1.1.0,true,true,true,11-13-2021,incoming/RNA-Seq/11-12-2021/ihec.rna-seq.ihec-grapenf-containerv1.1.0.IHECRE00000001.4.5e6cc904-0c49-4a82-8bf0-1f727f9f37fa.*,IHECRE00000001
IHECRE00000001.4,complete,CEEHRC_[CEMT],WGBS,standard,40e2b84e-18fc-4f52-925f-c35af2f9e611,EGAR00001300195;EGAR00001300198;EGAR00001300206,nan,100;100;100,nan,100;100;100,nan,ihec-wgbs-containerv3.5.0,true,true,nan,09-13-2021,incoming/WGBS/09-08-2021/ihec.wgbs.ihec-gembs-containerv3.5.0.IHECRE00000001.4.40e2b84e-18fc-4f52-925f-c35af2f9e611.*,IHECRE00000001
IHECRE00000002.3,partial,BLUEPRINT,ChIP-Seq,H3K27ac,98a96310-7c2e-4c5c-911e-9bcd1d1a32bb,EGAR00001185081,EGAR00001403265,42,44,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,08-24-2022,incoming/ChIP-Seq/08-24-2022/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000002.3.98a96310-7c2e-4c5c-911e-9bcd1d1a32bb.*,IHECRE00000002
IHECRE00000002.3,partial,BLUEPRINT,ChIP-Seq,H3K27me3,0b999aa1-0bf7-4607-90d3-28b5d09ad8a9,EGAR00001143047,EGAR00001403265,42,44,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,08-24-2022,incoming/ChIP-Seq/08-24-2022/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000002.3.0b999aa1-0bf7-4607-90d3-28b5d09ad8a9.*,IHECRE00000002
IHECRE00000002.3,partial,BLUEPRINT,ChIP-Seq,H3K36me3,51276f49-110c-4a93-b559-c7bbb7126175,EGAR00001228075,EGAR00001403265,42,44,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,08-24-2022,incoming/ChIP-Seq/08-24-2022/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000002.3.51276f49-110c-4a93-b559-c7bbb7126175.*,IHECRE00000002
IHECRE00000002.3,partial,BLUEPRINT,ChIP-Seq,H3K4me1,c23b727b-e4e2-4401-b8c7-1a834d67b360,EGAR00001228076,EGAR00001403265,42,44,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,08-24-2022,incoming/ChIP-Seq/08-24-2022/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000002.3.c23b727b-e4e2-4401-b8c7-1a834d67b360.*,IHECRE00000002
IHECRE00000002.3,partial,BLUEPRINT,ChIP-Seq,H3K4me3,7abd0914-eb79-4747-a15c-9fb51ffafe6b,EGAR00001143022,EGAR00001403265,42,44,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,08-24-2022,incoming/ChIP-Seq/08-24-2022/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000002.3.7abd0914-eb79-4747-a15c-9fb51ffafe6b.*,IHECRE00000002
IHECRE00000002.3,partial,BLUEPRINT,ChIP-Seq,H3K9me3,dfcf4ab0-15d4-470b-896d-4b9f4f023bfa,EGAR00001300129,EGAR00001403265,42,44,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,08-24-2022,incoming/ChIP-Seq/08-24-2022/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000002.3.dfcf4ab0-15d4-470b-896d-4b9f4f023bfa.*,IHECRE00000002
IHECRE00000002.3,partial,BLUEPRINT,RNA-Seq,total-RNA-Seq,a9b5e9f9-1666-4ae7-b90f-c8982b7e02e4,EGAR00001190315,nan,76,nan,75,nan,ihec-rnaseq-containerv1.1.0,true,true,true,08-17-2022,incoming/RNA-Seq/08-17-2022/ihec.rna-seq.ihec-grapenf-containerv1.1.0.IHECRE00000002.3.a9b5e9f9-1666-4ae7-b90f-c8982b7e02e4.*,IHECRE00000002
IHECRE00000004.3,complete,BLUEPRINT,ChIP-Seq,H3K27ac,08828406-540b-464b-b2f8-9402ccb1159b,EGAR00001096246,EGAR00001072372,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,12-17-2020,incoming/ChIP-Seq/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000004.3.08828406-540b-464b-b2f8-9402ccb1159b.*,IHECRE00000004
