epirr_noV,harmonized_donor_sex,harmonized_donor_life_stage,EpiClass_pred_Sex,EpiClass_pred_Life_stage,data-driven_full_concat_name,s_m,s_u,diff_sex,l_m,l_u,l_c,diff_life-stage
IHECRE00000001,female,unknown,female,adult,epithelial.epithelial.mixed.x,,,TRUE,,adult_pred,adult_pred,FALSE
IHECRE00000002,female,adult,female,adult,blood.leukemia.myeloid.11,,,TRUE,,,,TRUE
IHECRE00000004,female,adult,female,adult,blood.neutrophil.CD66b+_CD16+.1,,,TRUE,,,,TRUE
IHECRE00000008,male,adult,male,adult,blood.myeloid.leukocyte.x,,,TRUE,,,,TRUE
IHECRE00000009,male,adult,male,adult,blood.T-cell.CD4+.x,,,TRUE,,,,TRUE
IHECRE00000010,male,adult,male,adult,blood.T-cell.T-cell.6,,,TRUE,,,,TRUE
IHECRE00000011,female,adult,female,adult,blood.leukemia.myeloid.11,,,TRUE,,,,TRUE
IHECRE00000012,female,adult,female,adult,blood.T-cell.T-cell.10,,,TRUE,,,,TRUE
IHECRE00000013,female,child,female,adult,blood.myeloid.leukocyte.x,,,TRUE,adult_pred,,adult_pred,FALSE
IHECRE00000014,female,adult,female,adult,blood.leukemia.myeloid.33,,,TRUE,,,,TRUE
IHECRE00000015,male,adult,male,adult,blood.myeloid.macrophage.x,,,TRUE,,,,TRUE
IHECRE00000016,male,unknown,male,adult,blood.myeloid.leukocyte.x,,,TRUE,,adult_pred,adult_pred,FALSE
IHECRE00000017,female,adult,female,adult,blood.T-cell.T-cell.6,,,TRUE,,,,TRUE
IHECRE00000019,female,child,male,child,blood.myeloid.leukocyte.x,male_pred,,FALSE,,,,TRUE
IHECRE00000022,male,child,male,child,blood.T-cell.T-cell.37,,,TRUE,,,,TRUE
IHECRE00000023,female,child,female,child,blood.neutrophil.CD66b+_CD16+.12,no_change,,TRUE,,,,TRUE
IHECRE00000024,male,unknown,male,adult,blood.T-cell.T-cell.6,,,TRUE,,adult_pred,adult_pred,FALSE
IHECRE00000026,female,adult,female,adult,blood.leukemia.myeloid.11,,,TRUE,,,,TRUE
IHECRE00000027,male,adult,male,adult,blood.monocyte.monocyte.8,,,TRUE,,,,TRUE
IHECRE00000028,female,adult,female,adult,blood.monocyte.monocyte.4,,,TRUE,,,,TRUE
IHECRE00000031,male,adult,male,adult,blood.leukemia.mixed.cells,,,TRUE,,,,TRUE
IHECRE00000032,male,child,male,child,mixed.mixed.mixed.x,,,TRUE,,,,TRUE
IHECRE00000034,female,unknown,female,adult,blood.B-cell.naive.x,,,TRUE,,adult_pred,adult_pred,FALSE
IHECRE00000035,female,child,female,child,blood.T-cell.T-cell.37,,,TRUE,,,,TRUE
IHECRE00000036,unknown,child,male,child,blood.progenitor.myeloid.x,,male_pred,FALSE,,,,TRUE
IHECRE00000037,male,unknown,male,adult,blood.T-cell.autoimmune_mixed.x,,,TRUE,,adult_pred,adult_pred,FALSE
IHECRE00000038,male,child,male,child,blood.progenitor.myeloid.x,,,TRUE,,,,TRUE
IHECRE00000039,male,adult,male,adult,blood.myeloid.macrophage.x,,,TRUE,,,,TRUE
IHECRE00000041,female,adult,female,adult,blood.leukemia.myeloid.11,,,TRUE,,,,TRUE
