mark,epirr_id,data_file_path
H3K27ac,IHECRE00000001.4,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000001.4_H3K27ac.pval.bw
H3K27ac,IHECRE00000002.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000002.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000004.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000004.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000008.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000008.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000009.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000009.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000010.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000010.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000011.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000011.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000013.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000013.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000014.2,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000014.2_H3K27ac.pval.bw
H3K27ac,IHECRE00000016.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000016.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000017.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000017.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000019.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000019.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000022.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000022.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000024.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000024.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000026.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000026.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000027.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000027.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000031.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000031.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000034.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000034.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000035.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000035.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000041.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000041.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000043.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000043.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000045.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000045.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000048.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000048.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000049.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000049.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000051.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000051.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000053.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000053.3_H3K27ac.pval.bw
H3K27ac,IHECRE00000054.3,incoming/ChIP-Seq_imputed/H3K27ac/impute_IHECRE00000054.3_H3K27ac.pval.bw
