"EpiRR_no_decimal","harmonized_sample_ontology_intermediate","fig1_ontology_intermediate_merged"
"IHECRE00004893","mammary gland epithelial cell","epithelial"
"IHECRE00002796","hematopoietic cell","hematopoietic cell"
"IHECRE00002753","hematopoietic cell","hematopoietic cell"
"IHECRE00002759","hematopoietic cell","hematopoietic cell"
"IHECRE00002744","hematopoietic cell","hematopoietic cell"
"IHECRE00002781","hematopoietic cell","hematopoietic cell"
"IHECRE00002760","hematopoietic cell","hematopoietic cell"
"IHECRE00002780","hematopoietic cell","hematopoietic cell"
"IHECRE00002755","hematopoietic cell","hematopoietic cell"
"IHECRE00001456","T cell","T lymphocyte"
"IHECRE00002745","hematopoietic cell","hematopoietic cell"
"IHECRE00002789","hematopoietic cell","hematopoietic cell"
"IHECRE00002749","hematopoietic cell","hematopoietic cell"
"IHECRE00002784","hematopoietic cell","hematopoietic cell"
"IHECRE00002748","hematopoietic cell","hematopoietic cell"
"IHECRE00002779","hematopoietic cell","hematopoietic cell"
"IHECRE00002786","hematopoietic cell","hematopoietic cell"
"IHECRE00002761","hematopoietic cell","hematopoietic cell"
"IHECRE00002754","hematopoietic cell","hematopoietic cell"
"IHECRE00002804","hematopoietic cell","hematopoietic cell"
"IHECRE00002788","hematopoietic cell","hematopoietic cell"
"IHECRE00002790","hematopoietic cell","hematopoietic cell"
"IHECRE00000337","macrophage","macrophage"
"IHECRE00002797","hematopoietic cell","hematopoietic cell"
"IHECRE00002799","hematopoietic cell","hematopoietic cell"
"IHECRE00002768","hematopoietic cell","hematopoietic cell"
"IHECRE00002798","hematopoietic cell","hematopoietic cell"
"IHECRE00002792","monocyte","monocyte"
"IHECRE00002795","hematopoietic cell","hematopoietic cell"
"IHECRE00002801","hematopoietic cell","hematopoietic cell"
"IHECRE00002778","hematopoietic cell","hematopoietic cell"
"IHECRE00002785","hematopoietic cell","hematopoietic cell"
"IHECRE00002793","monocyte","monocyte"
"IHECRE00002734","lymphocyte of B lineage","B lymphocyte"
"IHECRE00002800","hematopoietic cell","hematopoietic cell"
"IHECRE00002806","neutrophil","neutrophil"
"IHECRE00002805","neutrophil","neutrophil"
"IHECRE00002738","T cell","T lymphocyte"
"IHECRE00002807","neutrophil","neutrophil"
"IHECRE00002737","T cell","T lymphocyte"
"IHECRE00002741","T cell","T lymphocyte"
"IHECRE00002742","T cell","T lymphocyte"
"IHECRE00002740","T cell","T lymphocyte"
"IHECRE00002776","hematopoietic cell","hematopoietic cell"
"IHECRE00002765","hematopoietic cell","hematopoietic cell"
"IHECRE00002794","monocyte","monocyte"
"IHECRE00002735","lymphocyte of B lineage","B lymphocyte"
"IHECRE00002756","hematopoietic cell","hematopoietic cell"
"IHECRE00002758","hematopoietic cell","hematopoietic cell"
"IHECRE00002808","natural killer cell","natural killer cell"
"IHECRE00002771","myeloid cell","myeloid cell"
"IHECRE00002809","natural killer cell","natural killer cell"
"IHECRE00002766","hematopoietic cell","hematopoietic cell"
"IHECRE00002774","myeloid cell","myeloid cell"
"IHECRE00002764","hematopoietic cell","hematopoietic cell"
"IHECRE00002736","lymphocyte of B lineage","B lymphocyte"
"IHECRE00002769","hematopoietic cell","hematopoietic cell"
"IHECRE00002810","natural killer cell","natural killer cell"
"IHECRE00002739","T cell","T lymphocyte"
"IHECRE00002773","myeloid cell","myeloid cell"
"IHECRE00002777","hematopoietic cell","hematopoietic cell"
"IHECRE00002770","hematopoietic cell","hematopoietic cell"
"IHECRE00002763","hematopoietic cell","hematopoietic cell"
