epirr_id_without_version	Final_Manual_Group_Label	Fig1_Merged Ontology Order--sept24_with-mod	harmonized_sample_ontology_intermediate_with-mod	Fig1_Merged Ontology Order--sept24	harmonized_sample_ontology_intermediate	mod_Fig1	mod_HSOI
IHECRE00000001	Mammary Epithelial Cell	epithelial	mammary gland epithelial cell	epithelial	epithelial cell derived cell line	0	1
IHECRE00000002	Acute Promyelocytic Leukemia	myeloid cell	myeloid cell	myeloid cell	myeloid cell	0	0
IHECRE00000004	Neutrophil	neutrophil	neutrophil	neutrophil	neutrophil	0	0
IHECRE00000008	Macrophage	macrophage	macrophage	macrophage	macrophage	0	0
IHECRE00000009	T-Cell Naive CD4 Helper	T lymphocyte	T cell	T lymphocyte	T cell	0	0
IHECRE00000010	T-Cell Memory CD8 Helper	T lymphocyte	T cell	T lymphocyte	T cell	0	0
IHECRE00000011	Acute Promyelocytic Leukemia	myeloid cell	myeloid cell	myeloid cell	myeloid cell	0	0
IHECRE00000012	T-Cell Naive CD4 Helper	T lymphocyte	T cell	T lymphocyte	T cell	0	0
IHECRE00000013	Macrophage	macrophage	macrophage	macrophage	macrophage	0	0
IHECRE00000014	Acute Myeloid Leukemia	myeloid cell	myeloid cell	myeloid cell	myeloid cell	0	0
IHECRE00000015	Macrophage	macrophage	macrophage	macrophage	macrophage	0	0
IHECRE00000016	Macrophage	macrophage	macrophage	macrophage	macrophage	0	0
IHECRE00000017	T-Cell Memory CD8 Helper	T lymphocyte	T cell	T lymphocyte	T cell	0	0
IHECRE00000019	Macrophage	macrophage	macrophage	macrophage	macrophage	0	0
IHECRE00000022	T-Cell Naive CD8 Helper	T lymphocyte	T cell	T lymphocyte	T cell	0	0
IHECRE00000023	Neutrophil	neutrophil	neutrophil	neutrophil	neutrophil	0	0
IHECRE00000024	Natural Killer Cell	natural killer cell	natural killer cell	natural killer cell	natural killer cell	0	0
IHECRE00000026	Acute Myeloid Leukemia	myeloid cell	myeloid cell	myeloid cell	myeloid cell	0	0
IHECRE00000027	Monocyte	monocyte	monocyte	monocyte	monocyte	0	0
IHECRE00000028	Monocyte	monocyte	monocyte	monocyte	monocyte	0	0
IHECRE00000031	Acute Myeloid Leukemia	myeloid cell	myeloid cell	myeloid cell	myeloid cell	0	0
IHECRE00000032	Erythrocyte	erythroid lineage cell	erythroid lineage cell	erythroid lineage cell	erythroid lineage cell	0	0
IHECRE00000034	Naive B Lymphocyte	B lymphocyte	lymphocyte of B lineage	B lymphocyte	lymphocyte of B lineage	0	0
IHECRE00000035	T-Cell Naive CD8 Helper	T lymphocyte	T cell	T lymphocyte	T cell	0	0
IHECRE00000036	Granulocyte Monocyte Progenitor	hematopoietic cell	hematopoietic cell	hematopoietic cell	hematopoietic cell	0	0
IHECRE00000037	T-Cell Memory CD8 Helper	T lymphocyte	T cell	T lymphocyte	T cell	0	0
IHECRE00000038	Common Lymphoid Progenitor	hematopoietic cell	hematopoietic cell	hematopoietic cell	hematopoietic cell	0	0
