EpiRR Ordering,EpiRR,Biospecimen Disease,Broad Biospecimen Label,Broad Colour,Intermediate Biospecimen Label,Intermediate Colour,Curated Biospecimen Label
1,IHECRE00001032.6,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain
2,IHECRE00001053.7,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain
3,IHECRE00002063.1,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Amygdala
4,IHECRE00002086.1,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Amygdala
5,IHECRE00001973.1,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Amygdala
6,IHECRE00001984.1,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Amygdala
7,IHECRE00001990.1,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Amygdala
8,IHECRE00001997.1,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Amygdala
9,IHECRE00002005.1,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Amygdala
10,IHECRE00002058.1,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Amygdala
11,IHECRE00002065.1,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Amygdala
12,IHECRE00002067.1,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Amygdala
13,IHECRE00002076.1,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Amygdala
14,IHECRE00001048.6,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Angular Gyrus
15,IHECRE00000991.6,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Caudate Nucleus
16,IHECRE00003386.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
17,IHECRE00003185.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
18,IHECRE00003328.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
19,IHECRE00003134.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
20,IHECRE00003269.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
21,IHECRE00003192.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
22,IHECRE00003179.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
23,IHECRE00003272.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
24,IHECRE00003347.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
25,IHECRE00003321.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
26,IHECRE00003222.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
27,IHECRE00003136.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
28,IHECRE00003194.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
29,IHECRE00003351.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
30,IHECRE00003250.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
31,IHECRE00003353.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
32,IHECRE00003258.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
33,IHECRE00003287.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
34,IHECRE00003364.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
35,IHECRE00003343.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
36,IHECRE00003201.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
37,IHECRE00003299.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
38,IHECRE00003268.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
39,IHECRE00003344.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
40,IHECRE00003144.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
41,IHECRE00003188.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
42,IHECRE00003248.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
43,IHECRE00003282.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
44,IHECRE00003334.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
45,IHECRE00003304.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
46,IHECRE00003155.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
47,IHECRE00003371.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
48,IHECRE00003190.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
49,IHECRE00003332.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
50,IHECRE00003383.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
51,IHECRE00003293.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
52,IHECRE00003317.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
53,IHECRE00003367.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
54,IHECRE00003330.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
55,IHECRE00003245.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
56,IHECRE00003126.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
57,IHECRE00003150.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
58,IHECRE00003316.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
59,IHECRE00003305.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
60,IHECRE00003350.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
61,IHECRE00003132.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
62,IHECRE00003115.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
63,IHECRE00003285.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
64,IHECRE00003121.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
65,IHECRE00003393.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
66,IHECRE00003112.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
67,IHECRE00003159.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
68,IHECRE00003243.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
69,IHECRE00003164.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
70,IHECRE00003230.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
71,IHECRE00003172.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
72,IHECRE00003335.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
73,IHECRE00003313.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
74,IHECRE00003378.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
75,IHECRE00003183.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
76,IHECRE00003348.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
77,IHECRE00003127.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
78,IHECRE00003193.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
79,IHECRE00003235.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
80,IHECRE00003146.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
81,IHECRE00003359.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
82,IHECRE00003271.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
83,IHECRE00003352.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
84,IHECRE00003133.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
85,IHECRE00003226.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
86,IHECRE00003312.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
87,IHECRE00003297.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
88,IHECRE00003110.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
89,IHECRE00003228.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
90,IHECRE00003324.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
91,IHECRE00003232.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
92,IHECRE00003314.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
93,IHECRE00003157.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
94,IHECRE00003260.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
95,IHECRE00003319.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
96,IHECRE00003154.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
97,IHECRE00003262.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
98,IHECRE00003369.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
99,IHECRE00003388.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
100,IHECRE00003180.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
101,IHECRE00003338.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
102,IHECRE00003280.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
103,IHECRE00003239.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
104,IHECRE00003261.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
105,IHECRE00003213.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
106,IHECRE00003315.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
107,IHECRE00003153.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
108,IHECRE00003277.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
109,IHECRE00002049.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
110,IHECRE00004881.1,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
111,IHECRE00004906.1,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
112,IHECRE00004911.1,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cerebellum
113,IHECRE00000952.6,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Cingulate Gyrus
114,IHECRE00000678.1,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA11
115,IHECRE00004878.1,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA11
116,IHECRE00004882.1,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA11
117,IHECRE00000679.1,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA44
118,IHECRE00003111.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA44-45
119,IHECRE00003118.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA44-45
120,IHECRE00003360.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA44-45
121,IHECRE00003216.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA44-45
