EpiRR	EpiRR_status	project	metadata	value
IHECRE00000004.3	Complete	BLUEPRINT	biomaterial_type	Primary Cell
IHECRE00000004.3	Complete	BLUEPRINT	disease_ontology_uri	NA
IHECRE00000004.3	Complete	BLUEPRINT	donor_id	C0010K
IHECRE00000004.3	Complete	BLUEPRINT	donor_ethnicity	Northern European
IHECRE00000004.3	Complete	BLUEPRINT	passage_if_expanded	NA
IHECRE00000004.3	Complete	BLUEPRINT	donor_sex	Female
IHECRE00000004.3	Complete	BLUEPRINT	subject_id	C0010K
IHECRE00000004.3	Complete	BLUEPRINT	gender	female
IHECRE00000004.3	Complete	BLUEPRINT	tissue_type	venous blood
IHECRE00000004.3	Complete	BLUEPRINT	taxon_id	9606
IHECRE00000004.3	Complete	BLUEPRINT	species	Homo sapiens
IHECRE00000004.3	Complete	BLUEPRINT	disease	None
IHECRE00000004.3	Complete	BLUEPRINT	sample_ontology_uri	http://purl.obolibrary.org/obo/CL_0000096;http://purl.obolibrary.org/obo/UBERON_0013756
IHECRE00000004.3	Complete	BLUEPRINT	donor_age	60 - 65
IHECRE00000004.3	Complete	BLUEPRINT	phenotype	CL:0000096;PATO:0000461;UBERON:0013756
IHECRE00000004.3	Complete	BLUEPRINT	cell_type	mature neutrophil
IHECRE00000004.3	Complete	BLUEPRINT	markers	CD66b+ CD16+
IHECRE00000004.3	Complete	BLUEPRINT	donor_health_status	NA
IHECRE00000004.3	Complete	BLUEPRINT	biomaterial_provider	NIHR Cambridge BioResource
IHECRE00000008.3	Complete	BLUEPRINT	biomaterial_type	Primary Cell Culture
IHECRE00000008.3	Complete	BLUEPRINT	disease_ontology_uri	NA
IHECRE00000008.3	Complete	BLUEPRINT	donor_id	S00390
IHECRE00000008.3	Complete	BLUEPRINT	donor_ethnicity	NA
IHECRE00000008.3	Complete	BLUEPRINT	passage_if_expanded	http://www.blueprint-epigenome.eu/UserFiles/file/Protocols/UCAM_BluePrint_Macrophage.pdf
IHECRE00000008.3	Complete	BLUEPRINT	donor_sex	Male
IHECRE00000008.3	Complete	BLUEPRINT	subject_id	S00390
IHECRE00000008.3	Complete	BLUEPRINT	gender	male
IHECRE00000008.3	Complete	BLUEPRINT	tissue_type	venous blood
IHECRE00000008.3	Complete	BLUEPRINT	taxon_id	9606
IHECRE00000008.3	Complete	BLUEPRINT	species	Homo sapiens
IHECRE00000008.3	Complete	BLUEPRINT	disease	None
IHECRE00000008.3	Complete	BLUEPRINT	sample_ontology_uri	http://purl.obolibrary.org/obo/CL_0000235;http://purl.obolibrary.org/obo/UBERON_0013756
IHECRE00000008.3	Complete	BLUEPRINT	donor_age	50 - 55
IHECRE00000008.3	Complete	BLUEPRINT	culture_conditions	http://www.blueprint-epigenome.eu/UserFiles/file/Protocols/UCAM_BluePrint_Macrophage.pdf
IHECRE00000008.3	Complete	BLUEPRINT	phenotype	CL:0000235;PATO:0000461;UBERON:0013756
IHECRE00000008.3	Complete	BLUEPRINT	cell_type	macrophage
IHECRE00000008.3	Complete	BLUEPRINT	markers	http://www.blueprint-epigenome.eu/index.cfm?p=7BF8A4B6-F4FE-861A-2AD57A08D63D0B58
IHECRE00000008.3	Complete	BLUEPRINT	biomaterial_provider	NIHR Cambridge BioResource
IHECRE00000008.3	Complete	BLUEPRINT	donor_health_status	NA
IHECRE00000013.3	Complete	BLUEPRINT	biomaterial_type	Primary Cell Culture
IHECRE00000013.3	Complete	BLUEPRINT	disease_ontology_uri	NA
IHECRE00000013.3	Complete	BLUEPRINT	donor_id	S00BS4
IHECRE00000013.3	Complete	BLUEPRINT	donor_ethnicity	NA
IHECRE00000013.3	Complete	BLUEPRINT	passage_if_expanded	http://www.blueprint-epigenome.eu/UserFiles/file/Protocols/UCAM_BluePrint_Macrophage.pdf
IHECRE00000013.3	Complete	BLUEPRINT	donor_sex	Female
IHECRE00000013.3	Complete	BLUEPRINT	subject_id	S00BS4
IHECRE00000013.3	Complete	BLUEPRINT	gender	female
IHECRE00000013.3	Complete	BLUEPRINT	tissue_type	venous blood
IHECRE00000013.3	Complete	BLUEPRINT	taxon_id	9606
IHECRE00000013.3	Complete	BLUEPRINT	species	Homo sapiens
IHECRE00000013.3	Complete	BLUEPRINT	disease	None
IHECRE00000013.3	Complete	BLUEPRINT	sample_ontology_uri	http://purl.obolibrary.org/obo/CL_0000890;http://purl.obolibrary.org/obo/UBERON_0013756
IHECRE00000013.3	Complete	BLUEPRINT	donor_age	0 - 5
IHECRE00000013.3	Complete	BLUEPRINT	culture_conditions	http://www.blueprint-epigenome.eu/UserFiles/file/Protocols/UCAM_BluePrint_Macrophage.pdf
IHECRE00000013.3	Complete	BLUEPRINT	phenotype	CL:0000890;PATO:0000461;UBERON:0013756
IHECRE00000013.3	Complete	BLUEPRINT	cell_type	alternatively activated macrophage
IHECRE00000013.3	Complete	BLUEPRINT	markers	http://www.blueprint-epigenome.eu/index.cfm?p=7BF8A4B6-F4FE-861A-2AD57A08D63D0B58
IHECRE00000013.3	Complete	BLUEPRINT	biomaterial_provider	NIHR Cambridge BioResource
IHECRE00000013.3	Complete	BLUEPRINT	donor_health_status	NA
IHECRE00000014.2	Complete	BLUEPRINT	biomaterial_type	Primary Cell
IHECRE00000014.2	Complete	BLUEPRINT	tissue_type	bone marrow
IHECRE00000014.2	Complete	BLUEPRINT	donor_id	UMCG00017
IHECRE00000014.2	Complete	BLUEPRINT	taxon_id	9606
IHECRE00000014.2	Complete	BLUEPRINT	species	Homo sapiens
IHECRE00000014.2	Complete	BLUEPRINT	donor_ethnicity	Caucasian
IHECRE00000014.2	Complete	BLUEPRINT	passage_if_expanded	NA
IHECRE00000014.2	Complete	BLUEPRINT	disease	Acute Myeloid Leukemia
IHECRE00000014.2	Complete	BLUEPRINT	donor_age	70 - 75
IHECRE00000014.2	Complete	BLUEPRINT	donor_sex	Female
IHECRE00000014.2	Complete	BLUEPRINT	cell_type	myeloid cell
IHECRE00000014.2	Complete	BLUEPRINT	markers	CD33+
IHECRE00000014.2	Complete	BLUEPRINT	gender	female
IHECRE00000014.2	Complete	BLUEPRINT	donor_health_status	Acute Myeloid Leukemia
IHECRE00000014.2	Complete	BLUEPRINT	biomaterial_provider	Prof.dr. E. Vellenga, University Medical Centre Groningen - Department of Hematology
IHECRE00000016.3	Complete	BLUEPRINT	biomaterial_type	Primary Cell Culture
IHECRE00000016.3	Complete	BLUEPRINT	disease_ontology_uri	NA
IHECRE00000016.3	Complete	BLUEPRINT	donor_ethnicity	NA
IHECRE00000016.3	Complete	BLUEPRINT	passage_if_expanded	http://www.blueprint-epigenome.eu/UserFiles/file/Protocols/UCAM_BluePrint_Macrophage.pdf
IHECRE00000016.3	Complete	BLUEPRINT	donor_sex	Male
